arcOfHyperbola domain [-1, 1]
arcOfHyperbola start (7.71540317408, -3.52560358093, 0)
arcOfHyperbola end (7.71540317408, 3.52560358093, 0)
arcOfParabola domain [-3, 3]
arcOfParabola point(0) (0, 0, 0)
arcOfParabola start (1.125, -3, 0)
arcOfParabola end (1.125, 3, 0)
ax1 createAndRead location (1, 2, 3)
ax1 createAndRead direction (0, 0, 1)
ax1 reverse direction (-0, -0, -1)
ax1 reversedCopy reversed direction (-0, -1, -0)
ax1 reversedCopy original direction (0, 1, 0)
ax1 setters direction (0, 1, 0)
ax1 setters location (5, 5, 5)
ax2 createAndRead xDirection (1, 0, -0)
ax2 createAndRead yDirection (-0, 1, 0)
ax2 createAndRead mainDirection (0, 0, 1)
ax2 location location (5, 5, 5)
ax2 setDirection mainDirection (0, 1, 0)
ax2 setXDirection xDirection (0, 1, 0)
